,,std_ymd,event_date,auth_id,user_pseudo_id,event_name,is_anonymous,learn_lang,learn_lang_cnt,lang_code,app_version,platform,platform_version,device_category,continent,country,event_timestamp,event_timestamp_w_timezone,,week_cd,screen_class,previous_screen_class,errors: 0,use_time_msec,,purchase_type,product,create_date
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022621486000 ,1695055021486000 ,0,96,MyTab,HomeTab,2023-09-18 16:37:01.486,null,null,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022627307000 ,1695055027307000 ,0,96,MyTab,null,2023-09-18 16:37:07.307,5820,5.82,null,null,2023-10-01
#REF!,#REF!,2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546844331000 ,1695579244331000 ,0,97,MainActivity,null,2023-09-24 18:14:04.331,2161,2.161,null,null,2023-10-08
#REF!,#REF!,2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,splash_visit,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546846210000 ,1695579246210000 ,0,97,Splash,null,2023-09-24 18:14:06.210,null,null,CAKE_COUPON,PLUS,2023-10-08
#REF!,#REF!,2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546846210000 ,1695579246210000 ,0,97,Splash,MainActivity,2023-09-24 18:14:06.210,5016,5.016,null,null,2023-10-08
#REF!,#REF!,2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,membership_user,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546846211000 ,1695579246211000 ,0,97,Splash,null,2023-09-24 18:14:06.211,null,null,CAKE_COUPON,PLUS,2023-10-08
#REF!,#REF!,2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546851225000 ,1695579251225000 ,0,97,Player,Splash,2023-09-24 18:14:11.225,null,null,null,null,2023-10-08
#REF!,#REF!,2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546870342000 ,1695579270342000 ,0,97,Player,null,2023-09-24 18:14:30.342,19114,19.114,null,null,2023-10-08
#REF!,#REF!,2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546890254000 ,1695579290254000 ,0,97,Player,null,2023-09-24 18:14:50.254,18691,18.691,null,null,2023-10-08
#REF!,#REF!,2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719611381000 ,1695752011381000 ,0,97,MainActivity,null,2023-09-26 18:13:31.381,2196,2.196,null,null,2023-10-08
#REF!,#REF!,2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719613440000 ,1695752013440000 ,0,97,Splash,MainActivity,2023-09-26 18:13:33.440,4930,4.93,null,null,2023-10-08
#REF!,#REF!,2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,splash_visit,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719613440000 ,1695752013440000 ,0,97,Splash,null,2023-09-26 18:13:33.440,null,null,CAKE_COUPON,PLUS,2023-10-08
#REF!,#REF!,2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,membership_user,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719613440000 ,1695752013440000 ,0,97,Splash,null,2023-09-26 18:13:33.440,null,null,CAKE_COUPON,PLUS,2023-10-08
#REF!,#REF!,2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719618370000 ,1695752018370000 ,0,97,Player,Splash,2023-09-26 18:13:38.370,null,null,null,null,2023-10-08
#REF!,#REF!,2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719668743000 ,1695752068743000 ,0,97,Player,null,2023-09-26 18:14:28.743,50371,50.371,null,null,2023-10-08
