auth_id,event_name,previous_screen_class,screen_class,event_timestamp_w_timezone,use_time_msec
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695213739073050,7864.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213739075050,.
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_step_click,.,UIViewController,1695213740372050,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213740378050,1304.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,CollectionQuiz,1695213740378050,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,CollectionQuiz,PathTab,1695213803769000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,CollectionQuiz,1695213803770000,63391.0
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_visit,.,PathTab,1695213803772000,.
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_step_click,.,PathTab,1695213807399000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,PathTabPlayer,1695213807528000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,PathTab,1695213807529000,3758.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTabPlayer,PathTab,1695213916216020,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,PathTabPlayer,1695213916218010,108688.0
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_step_click,.,PathTab,1695213919470020,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,PathTab,1695213919511020,3293.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,PathTabPlayer,1695213919511020,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,PathTabPlayer,1695213982379000,62868.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTabPlayer,PathTab,1695213982379000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,RCTModalHostViewController,1695213982432010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695213984580010,2200.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213984582010,.
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_step_click,.,UIViewController,1695213987054010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213987069010,2489.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,CollectionQuiz,1695213987069010,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,CollectionQuiz,PathTab,1695214040223010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,CollectionQuiz,1695214040224010,53154.0
